,text,user.name,user.statuses_count,user.screen_name,user.followers_count,user.location,user.verified,user.profile_image_url_https,favorite_count,retweet_count,created_at,hashtags,quoted_hashtags,user_lat,user_lng
0,RT @EmilyJLB: Folks who’ve built digital editions in Wordpress: do you know of any plugins to enhance the search functionality? Or really j…,blueciren,230,kiun2020,1,,False,https://pbs.twimg.com/profile_images/1281551244796981248/M0durICt_normal.jpg,0,3,2020-12-13 11:42:48,[],[],,
1,RT @EmilyJLB: Folks who’ve built digital editions in Wordpress: do you know of any plugins to enhance the search functionality? Or really j…,RedInt,6669,desemboltura,800,대한민국 서울,False,https://pbs.twimg.com/profile_images/1092835469216276480/bCDlDVxQ_normal.jpg,0,3,2020-12-13 09:11:08,[],[],37.5666791,126.9782914
2,"RT @faberllull: #opencall 

Science, technology and humanities or science and #digitalhumanities?

We hope to debate on the multi-direction…",faberllull,2512,faberllull,2402,Olot & Andorra,False,https://pbs.twimg.com/profile_images/1277886432791728128/ql69JfW0_normal.jpg,0,7,2020-12-12 20:03:27,"['opencall', 'digitalhumanities']",[],,
3,"RT @faberllull: #opencall 

Science, technology and humanities or science and #digitalhumanities?

We hope to debate on the multi-direction…",Llull London,3701,IRLlull_London,1637,UK and Ireland,False,https://pbs.twimg.com/profile_images/1060867018587627520/7WdURwcM_normal.jpg,0,7,2020-12-12 20:02:21,"['opencall', 'digitalhumanities']",[],53.3989226,-2.3525569
4,RT @EEditiones: Have you been nice or naughty? We still have something to look forward to! Watch this space through December for our #OpenS…,Magdalena Turska,1144,magdaturska,351,Warsaw,False,https://pbs.twimg.com/profile_images/464165916637290496/ZtyYVOkK_normal.jpeg,0,12,2020-12-12 12:35:23,[],[],52.2319581,21.0067249
5,RT @EmilyJLB: Folks who’ve built digital editions in Wordpress: do you know of any plugins to enhance the search functionality? Or really j…,K. White,33108,DigtalHumanatee,584,,False,https://pbs.twimg.com/profile_images/1316470327149506566/dHIMR7Qq_normal.jpg,0,3,2020-12-11 19:22:51,[],[],,
6,Folks who’ve built digital editions in Wordpress: do you know of any plugins to enhance the search functionality? O… https://t.co/xC4JLFwJiQ,Dr Emily Bell,12036,EmilyJLB,5170,University of Leeds,False,https://pbs.twimg.com/profile_images/1330557422721765377/Dp-W0Y8D_normal.jpg,3,3,2020-12-11 19:01:38,[],[],53.8066846,-1.5560378380435451
7,"The students made a Instagram exhibit and you can check it out here! 
https://t.co/eqUqfBoALy
Is it just me or do w… https://t.co/y7xeuY6sFz",Georgetown University Department of English,1271,GU_ENGL,246,"Washington, DC",False,https://pbs.twimg.com/profile_images/1063152535614185474/oJLBRJy8_normal.jpg,1,0,2020-12-11 18:42:35,[],[],38.8949924,-77.0365581
8,RT @EEditiones: Have you been nice or naughty? We still have something to look forward to! Watch this space through December for our #OpenS…,Dennis Ried,395,riedde,105,"Waldsee, Deutschland",False,https://pbs.twimg.com/profile_images/901096321590976515/ynWOZfji_normal.jpg,0,12,2020-12-11 17:44:55,[],[],49.3953008,8.440276
9,"RT @YaleDHLab: We're thrilled to share a sneak peek of BlakeTint, a visualization tool for exploring William Blake's use of color. Users ca…",Typiespectre,1007,typiespectre,23,,False,https://pbs.twimg.com/profile_images/1288444479708336129/XWy-SS5L_normal.jpg,0,66,2020-12-11 16:25:38,[],[],,
