name,area,century,nationality
Antonio de Abreu,Indonesia,16th,Portuguese
William Adams,Japan,17th,English
Diogo Afonso,Northwest African coast,15th,Portuguese
Sir Crispin Agnew of Lochnaw Bt,"Greenland, Elephant Island, Northern Patagonian Icefield, Himalayas",20th,Scottish
Charles Albanel,Canada,17th,French
Afonso de Albuquerque,Asia,16th,Portuguese
Buzz Aldrin,The Moon,20th,American
Pêro de Alenquer,Indian Ocean,15th,Portuguese
Pêro de Alenquer,Indian Ocean,16th,Portuguese
Alexander the Great,"Indus River, Hindu Kush",4th BC,Greek
Alexander the Great,"Indus River, Hindu Kush",4th BC,Macedonian
Jean Alfonse (João Afonso),"Indian Ocean, Southeast Asia, possibly Australia; Brazil, North America",15th,Portuguese
Jean Alfonse (João Afonso),"Indian Ocean, Southeast Asia, possibly Australia; Brazil, North America",15th,French
Jean Alfonse (João Afonso),"Indian Ocean, Southeast Asia, possibly Australia; Brazil, North America",16th,Portuguese
Jean Alfonse (João Afonso),"Indian Ocean, Southeast Asia, possibly Australia; Brazil, North America",16th,French
Benedict Allen,various,20th,English
Benedict Allen,various,21st,English
Diego de Almagro,"Peru, Chile",16th,Spanish
László Almásy,Africa,19th,Hungarian
László Almásy,Africa,20th,Hungarian
Francisco de Almeida,India,16th,Portuguese
Lourenço de Almeida,"Sri Lanka, India",16th,Portuguese
Pedro de Alvarado,"Mexico, Guatemala, Honduras",16th,Spanish
Francisco Álvares,Ethiopia,16th,Portuguese
Gonçalo Álvares,"Gough Island, Namibia",15th,Portuguese
Jorge Álvares,China,16th,Portuguese
Roald Amundsen,"South Pole, Antarctica, Northwest Passage",20th,Norwegian
José Alberto de Oliveira Anchieta,Gough Island,19th,Portuguese
Charles John Andersson,Southern Africa,19th,Swedish
António de Andrade,"India, Tibet",16th,Portuguese
António de Andrade,"India, Tibet",17th,Portuguese
Fernão Pires de Andrade,Ming China,16th,Portuguese
Salomon August Andrée,Arctic,19th,Swedish
Roy Chapman Andrews,"China, Mongolia",20th,American
Juan Bautista de Anza,California,18th,Spanish
Dominick Arduin,North Pole,20th,French
Dominick Arduin,North Pole,21st,French
Henryk Arctowski,"Antarctic, South America",20th,Polish
Neil Armstrong,The Moon,20th,American
Ingólfur Arnarson,Iceland,9th,Norse
Vladimir Arsenyev,Far East,20th,Russian
Michael Asher,Africa,20th,English
Pêro de Ataíde,Indian Ocean,16th,Portuguese
Pêro de Ataíde,Indian Ocean,17th,Portuguese
Vasco de Ataíde,"India, Tibet",16th,Portuguese
Vasco de Ataíde,"India, Tibet",17th,Portuguese
Vladimir Atlasov,Kamchatka Peninsula,17th,Siberian
Vladimir Atlasov,Kamchatka Peninsula,17th,Cossack
François Xavier Aubry,American Southwest,19th,French
François Xavier Aubry,American Southwest,19th,Canadian
Väinö Auer,Tierra del Fuego and Patagonia,20th,Finnish
Pedro Menéndez de Avilés,Florida,16th,Spanish
Juan de Ayala,California,18th,Spanish
Lucas Vázquez de Ayllón,South Carolina,16th,Spanish
Diogo de Azambuja,West African coast,15th,Portuguese
George Back,Canadian Arctic,19th,English
William Baffin,Northwest Passage,17th,English
Samuel Baker,Africa,19th,English
Vasco Núñez de Balboa,"Panama, 'discovered' the Pacific Ocean",16th,Spanish
Robert Ballard,"deep sea wrecks, Titanic",20th,American
Ann Bancroft,"Arctic, Antarctic",20th,American
Ann Bancroft,"Arctic, Antarctic",21st,American
Joseph Banks,"Newfoundland and Labrador, South Pacific",18th,English
Hong Bao,"South Asia, Southeast Asia, Middle East, East African coast",15th,Chinese
Giosafat Barbaro,"Black Sea, Near East",15th,Italian
Duarte Barbosa,"Indian Ocean, 1st circumnavigation",15th,Portuguese
Duarte Barbosa,"Indian Ocean, 1st circumnavigation",16th,Portuguese
Pêro de Barcelos,North America,15th,Portuguese
Pêro de Barcelos,North America,16th,Portuguese
Afonso Gonçalves Baldaia,Western Sahara,15th,Portuguese
Jeanne Baré,Pacific Ocean,18th,French
Jeanne Baré,Pacific Ocean,19th,French
Willem Barentsz,"Northeast Passage, Novaya Zemlya, Svalbard",16th,Dutch
Heinrich Barth,Central and northern Africa,19th,German
Robert Bartlett,Arctic,20th,Newfoundl
Robert Bartlett,Arctic,20th,er
George Bass,"Australia, Tasmania",18th,English
Henry Walter Bates,Amazon basin,19th,English
Abu Abdullah Muhammad Ibn Battuta[1][2],"Africa, Central Asia, China, Europe, Indian subcontinent, Middle East, Russia, Southeast Asia",14th,Marinid
Nicolas Baudin,Australia,18th,French
James Beckwourth,Sierra Nevada (U.S.),19th,American
William Beebe,deep sea,20th,American
Pyotr Beketov,Siberia,17th,Russian
Gertrude Bell,Greater Syria Mesopotamia Asia Minor Arabia,19th,English
Gertrude Bell,Greater Syria Mesopotamia Asia Minor Arabia,20th,English
Fabian Gottlieb von Bellingshausen,Antarctica,19th,Baltic
Fabian Gottlieb von Bellingshausen,Antarctica,19th,German
Joseph René Bellot,Arctic,19th,French
Móric Benyovszky,northern Pacific Ocean[3],18th,Hungarian
Vitus Bering,"Northern Pacific Ocean, Bering Strait, Alaska (North America)",18th,Danish
Hiram Bingham III,"Machu Picchu, Peru",20th,American
Laura Bingham,South America,20th,English
Laura Bingham,South America,21st,English
Isabella Bird,North America Hawaii Japan Korea China Vietnam Singapore Malaysia India Persia Kurdistan Turkey Morocco,19th,English
Isabella Bird,North America Hawaii Japan Korea China Vietnam Singapore Malaysia India Persia Kurdistan Turkey Morocco,20th,English
John Blashford-Snell,various,20th,English
John Blashford-Snell,various,21st,English
Adriaen Block,East Coast of the United States,17th,Dutch
Nellie Bly,trip around the world in 72 days,19th,American
Nellie Bly,trip around the world in 72 days,20th,American
Juan Francisco de la Bodega y Quadra,Pacific Northwest,18th,Spanish
Benjamin Bonneville,"Oregon Country, Great Basin",19th,American
Daniel Boone,"Kentucky, Appalachian Mountains",18th,American
Vittorio Bottego,Somalia,19th,Italian
Adam Brand,"Russia, China",17th,German
Pierre Savorgnan de Brazza,Congo,19th,Italian
Pierre Savorgnan de Brazza,Congo,19th,French
Saint Brendan,"Atlantic Ocean, Iceland",6th,Irish
Jim Bridger,Western United States,19th,American
James Bruce,"Algeria, the Middle East, Egypt",18th,Scottish
William S. Bruce,Antarctica,20th,Scottish
Jørgen Brønlund,Greenland,20th,Greenl
Jørgen Brønlund,Greenland,20th,ic
Étienne Brûlé,Canada,17th,French
Bungaree,Australian coasts,18th,Aboriginal
Bungaree,Australian coasts,18th,Australian
Bungaree,Australian coasts,19th,Aboriginal
Bungaree,Australian coasts,19th,Australian
Lafayette Bunnell,Yosemite Valley,19th,American
Johann Ludwig Burckhardt,"Middle East, Sudan",19th,Swiss
Robert O'Hara Burke,Australia,19th,Irish
Frederick Russell Burnham,"Africa, Mexico",19th,American
Frederick Russell Burnham,"Africa, Mexico",20th,American
Richard Francis Burton,East Africa,19th,English
Thomas Button,Northwest Passage,17th,Welsh
José de Bustamante y Guerra,Pacific Ocean,18th,Spanish
Richard E. Byrd,"North Pole, Antarctica",20th,American
Álvar Núñez Cabeza de Vaca,"Southwestern United States, Mexico, Argentina",16th,Spanish
John Cabot[4],North American mainland (Canada),15th,Italian
Sebastian Cabot,"Northwest Passage (Canada), Río de la Plata, Paraná River (South America)",15th,Italian
João Cabral,Bhutan & Nepal,16th,Portuguese
