Survived,Sex,Pclass,Age,Fare,SibSp,Parch,Embarked,Lifeboat,Cabin,FamilySize
0,male,3,22.0,7.25,1,0,S,X,X,2
1,female,1,35.0,71.2833,1,0,C,4,C,2
1,female,3,26.0,7.925,0,0,S,14,X,1
1,female,1,35.0,53.1,1,0,S,D,C,2
0,male,3,35.0,8.05,0,0,S,X,X,1
0,male,3,22.0,8.4583,0,0,Q,X,X,1
0,male,1,54.0,51.8625,0,0,S,X,E,1
0,male,3,2.0,21.075,3,1,S,X,X,5
1,female,3,26.0,11.1333,0,2,S,15,X,3
1,female,2,14.0,30.0708,1,0,C,Q,X,2
1,female,3,4.0,16.7,1,1,S,13,G,3
1,female,1,61.0,26.55,0,0,S,8,C,1
0,male,3,19.0,8.05,0,0,S,X,X,1
0,male,3,39.0,31.275,1,5,S,X,X,7
0,female,3,14.0,7.8542,0,0,S,X,X,1
1,female,2,56.0,16.0,0,0,S,13,X,1
0,male,3,2.0,29.125,4,1,Q,X,X,6
1,male,2,23.0,13.0,0,0,S,14,X,1
0,female,3,31.0,18.0,1,0,S,X,X,2
1,female,3,22.0,7.225,0,0,C,C,X,1
0,male,2,35.0,26.0,0,0,S,X,X,1
1,male,2,34.0,13.0,0,0,S,13,D,1
1,female,3,16.0,8.0292,0,0,Q,13,X,1
1,male,1,28.0,35.5,0,0,S,7,A,1
0,female,3,8.0,21.075,3,1,S,X,X,5
1,female,3,38.0,31.3875,1,5,S,15,X,7
0,male,3,25.0,7.225,0,0,C,X,X,1
0,male,1,19.0,263.0,3,2,S,X,C,6
1,female,3,25.0,7.8792,0,0,Q,Q,X,1
0,male,3,23.0,7.8958,0,0,S,X,X,1
0,male,1,40.0,27.7208,0,0,C,X,X,1
1,female,1,45.0,146.5208,1,0,C,6,B,2
1,female,3,19.0,7.75,0,0,Q,13,X,1
0,male,2,66.0,10.5,0,0,S,X,X,1
0,male,1,28.0,82.1708,1,0,C,X,X,2
0,male,1,42.0,52.0,1,0,S,X,X,2
1,male,3,20.0,7.2292,0,0,C,15,X,1
0,male,3,21.0,8.05,0,0,S,X,X,1
0,female,3,18.0,18.0,2,0,S,X,X,3
1,female,3,14.0,11.2417,1,0,C,C,X,2
0,female,3,40.0,9.475,1,0,S,X,X,2
