Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date,hashtags,quoted_hashtags,User_lat,User_lng
"RT @Bomoimajid: 💡Get a Bang 💣 for Your Buck! Watching #YouTube Videos for #Online Learning ⚛
Useful Data Usage Chart ⚠
#BigData #DataScienc…",Friday,274110,1148,,False,0,144,2020-12-06 19:33:10,"['YouTube', 'Online', 'BigData']",[],,
"RT @Bomoimajid: 💡Get a Bang 💣 for Your Buck! Watching #YouTube Videos for #Online Learning ⚛
Useful Data Usage Chart ⚠
#BigData #DataScienc…",xael bot,745407,3352,Earth,False,0,144,2020-12-06 19:33:05,"['YouTube', 'Online', 'BigData']",[],,
"RT @Bomoimajid: 💡Get a Bang 💣 for Your Buck! Watching #YouTube Videos for #Online Learning ⚛
Useful Data Usage Chart ⚠
#BigData #DataScienc…",the404code,68312,1167,,False,0,144,2020-12-06 19:33:04,"['YouTube', 'Online', 'BigData']",[],,
"RT @Eli_Krumova: 🔝 25 Best #MachineLearning #Books to Read📚🎯
👇🏽
https://t.co/q1LuLa5Dnt
v @gp_pulipaka

#AI #ML #DL #BigData #Analytics #Da…",Gnuts about Code,534236,3376,,False,0,31,2020-12-06 19:32:52,"['MachineLearning', 'Books', 'AI', 'ML', 'DL', 'BigData', 'Analytics']",[],,
"RT @Eli_Krumova: 🔝 25 Best #MachineLearning #Books to Read📚🎯
👇🏽
https://t.co/q1LuLa5Dnt
v @gp_pulipaka

#AI #ML #DL #BigData #Analytics #Da…",Friday,274110,1148,,False,0,31,2020-12-06 19:32:46,"['MachineLearning', 'Books', 'AI', 'ML', 'DL', 'BigData', 'Analytics']",[],,
"RT @Eli_Krumova: 🔝 25 Best #MachineLearning #Books to Read📚🎯
👇🏽
https://t.co/q1LuLa5Dnt
v @gp_pulipaka

#AI #ML #DL #BigData #Analytics #Da…",Machine Learning Bot,313335,4298,,False,0,31,2020-12-06 19:32:46,"['MachineLearning', 'Books', 'AI', 'ML', 'DL', 'BigData', 'Analytics']",[],,
"RT @Eli_Krumova: 🔝 25 Best #MachineLearning #Books to Read📚🎯
👇🏽
https://t.co/q1LuLa5Dnt
v @gp_pulipaka

#AI #ML #DL #BigData #Analytics #Da…",CloudCoop ☁️,20528,357,"Rome, Lazio",False,0,31,2020-12-06 19:32:41,"['MachineLearning', 'Books', 'AI', 'ML', 'DL', 'BigData', 'Analytics']",[],,
RT @gp_pulipaka: MIT Develops A New System That Creates Different Kind Of Robots. #BigData #Analytics #DataScience #AI #MachineLearning #Ro…,Israel Aminu,2925,729,127.0.0.1,False,0,55,2020-12-06 19:32:15,"['BigData', 'Analytics', 'DataScience', 'AI', 'MachineLearning']",[],,
"RT @chidambara09: #Ransomware 
by David b https://t.co/8u57gYYjgx

#bigdata 
#CyberSecurity
#AI #IoT #Tech #USA #Linux #UK #javaScript #Fin…",LinuxBot,475696,3226,Raspberry Pi,False,0,62,2020-12-06 19:32:01,"['Ransomware', 'bigdata', 'CyberSecurity', 'AI', 'IoT', 'Tech', 'USA', 'Linux', 'UK', 'javaScript']",[],,
"RT @chidambara09: #Ransomware 
by David b https://t.co/8u57gYYjgx

#bigdata 
#CyberSecurity
#AI #IoT #Tech #USA #Linux #UK #javaScript #Fin…",Female Coders Bot,35050,135,,False,0,62,2020-12-06 19:31:39,"['Ransomware', 'bigdata', 'CyberSecurity', 'AI', 'IoT', 'Tech', 'USA', 'Linux', 'UK', 'javaScript']",[],,
