,Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date,User_lat,User_lng
0,"RT @dgolumbia: 1/ in the olden days, I used to occasionally speak or write about #digitalhumanities. I've been trolled into silence about i…",Paul A. Bové,13883,390,"Wexford, PA",False,0,2,2020-10-11 16:00:37,40.6264561,-80.055891
1,"RT @dgolumbia: 1/ in the olden days, I used to occasionally speak or write about #digitalhumanities. I've been trolled into silence about i…",K. White,30765,532,,False,0,2,2020-10-11 14:23:06,,
2,"1/ in the olden days, I used to occasionally speak or write about #digitalhumanities. I've been trolled into silenc… https://t.co/ba0tFydaSH",David Prospefity Golumbia,85558,5578,"Richmond, VA",False,3,2,2020-10-11 14:08:53,37.5385087,-77.43428
3,RT @dariahTeach: Looking to improve your #creativeskills? Why not apply to one or two of our #virtualcourses and #virtualworkshops on #desi…,Susan Schreibman,1945,981,Maastricht,False,0,4,2020-10-10 17:16:19,50.8512438,5.6909768
4,RT @dariahTeach: Looking to improve your #creativeskills? Why not apply to one or two of our #virtualcourses and #virtualworkshops on #desi…,K. White,30765,532,,False,0,4,2020-10-10 15:22:50,,
5,RT @dariahTeach: Looking to improve your #creativeskills? Why not apply to one or two of our #virtualcourses and #virtualworkshops on #desi…,DesignThinkBot,262906,8212,,False,0,4,2020-10-10 15:20:08,,
6,RT @dariahTeach: Looking to improve your #creativeskills? Why not apply to one or two of our #virtualcourses and #virtualworkshops on #desi…,SprintbaseBot,93733,1014,,False,0,4,2020-10-10 15:08:31,,
7,Looking to improve your #creativeskills? Why not apply to one or two of our #virtualcourses and #virtualworkshops o… https://t.co/UdEQajSq2f,#dariahTeach,1375,1170,,False,1,4,2020-10-10 15:01:01,,
8,RT @DigBlk: Two hours until “The Power of Black Art” ! Join us right here on Twitter or on our YouTube channel for the livestream of the ev…,Vanessa Holloway 🤬🤬🤬,1337,55,,False,0,3,2020-10-09 16:49:31,,
9,RT @DrJSchramm: Great discussion in the #Digitalhumanities session about how this work counts for tenure and promotion. Calls for eclectic…,K. White,30765,532,,False,0,1,2020-10-09 16:22:51,,
10,Great discussion in the #Digitalhumanities session about how this work counts for tenure and promotion. Calls for e… https://t.co/c8sP9GORzy,Jeff Schramm,8865,1874,"Rolla, MO",False,1,1,2020-10-09 15:51:17,37.9509324,-91.7708076
11,RT @DigBlk: Two hours until “The Power of Black Art” ! Join us right here on Twitter or on our YouTube channel for the livestream of the ev…,triplingual,51951,1367,"New Haven, CT",False,0,3,2020-10-09 15:25:57,41.3082138,-72.9250518
12,RT @DigBlk: Two hours until “The Power of Black Art” ! Join us right here on Twitter or on our YouTube channel for the livestream of the ev…,K. White,30765,532,,False,0,3,2020-10-09 15:23:01,,
13,Two hours until “The Power of Black Art” ! Join us right here on Twitter or on our YouTube channel for the livestre… https://t.co/7lV7kQOPRp,Center for Black Digital Research,478,1075,,False,0,3,2020-10-09 15:00:08,,
14,RT @museweb: MW Conference Deadline! Take some time this afternoon to submit your proposal for the 25th annual MuseWeb (MW) Conference next…,K. White,30765,532,,False,0,1,2020-10-09 13:22:58,,
15,MW Conference Deadline! Take some time this afternoon to submit your proposal for the 25th annual MuseWeb (MW) Conf… https://t.co/v9JUChkDz2,museweb,19480,63505,"April 5-9, 2021",False,1,1,2020-10-09 13:05:24,-34.3610257,-54.0683009
16,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",GeohumanDARIAH,578,200,,False,0,54,2020-10-09 12:12:52,,
17,@rogermexiko @FlorianSprenge8 @bernardionysius @NoisyNarrowBand @maramills @mkirschenbaum Maybe something recent by… https://t.co/1LtxU6ejt9,Till A. Heilmann,252,151,,False,2,0,2020-10-09 11:25:05,,
18,"RT @fatmaaladag: Digital Humanities and Ottoman Studies Workshop (updated)
https://t.co/eZSQJSZ8fp
#digitalhumanities #ottomanstudies https…",tuubanurs,423,157,Türkiye,False,0,12,2020-10-08 22:05:22,38.9597594,34.9249653
19,"RT @idw_online_en: Do you have a weakness for big data, algorithms, and gaming? Than join the third #FAU Open Research Challenge and solve…",K. White,30765,532,,False,0,1,2020-10-08 14:23:13,,
20,"Do you have a weakness for big data, algorithms, and gaming? Than join the third #FAU Open Research Challenge and s… https://t.co/ARpoWcLl9D",idw News,14555,230,Germany,False,4,1,2020-10-08 14:00:14,51.0834196,10.4234469
21,"RT @desemboltura: Looking at the Literary: Data-Driven Visualizations and the Comédie-Française Registers Project #digitalhumanities

""They…",K. White,30765,532,,False,0,1,2020-10-08 12:23:00,,
22,Looking at the Literary: Data-Driven Visualizations and the Comédie-Française Registers Project #digitalhumanities… https://t.co/V9d4CCLKcS,RedInt,6377,786,대한민국 서울,False,2,1,2020-10-08 11:57:38,37.5666791,126.9782914
23,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Maxime Durand,2260,1694,"Laval, Qc",False,0,54,2020-10-08 11:39:21,45.60558895,-73.73441730569056
24,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Jenn O'Lantern,10112,800,USA,False,0,54,2020-10-08 11:30:06,39.7837304,-100.4458825
25,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Andreas Angourakis,2185,1273,"Cambridge, England",False,0,54,2020-10-08 09:56:35,52.2034823,0.1235817
26,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Doris Gutsmiedl-Schümann,1181,420,,False,0,54,2020-10-08 08:55:27,,
27,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",George Bruseker,244,316,"Herakleion , Crete, Greece",False,0,54,2020-10-08 08:41:32,35.3400127,25.1343475
28,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Dr Megan Kasten,1043,504,"Glasgow, Scotland",False,0,54,2020-10-08 08:27:14,55.8609825,-4.2488787
29,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",HistoryBathSpa,549,331,"Bath, England",False,0,54,2020-10-08 08:18:23,51.380926349999996,-2.37418971512966
30,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Dr Sara Perry,8433,9137,"London, England",False,0,54,2020-10-08 08:15:30,51.5073219,-0.1276474
31,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Bouldering Epigrammetry,474,139,"Graz, Österreich",False,0,54,2020-10-08 08:10:37,47.0708678,15.4382786
32,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",100DaysofDH,722,175,,False,0,54,2020-10-08 08:09:19,,
33,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",elena cantarell,2124,341,,False,0,54,2020-10-08 07:58:39,,
34,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…","Dr. Kira Jones, unaccredited prismatoid",6904,1344,Atlanta,False,0,54,2020-10-08 03:11:08,33.7490987,-84.3901849
