Name	Modern (and former) nationality	Centuries	Main areas explored
Antonio de Abreu	Portuguese	16th	Indonesia
William Adams	English	17th	Japan
Diogo Afonso	Portuguese	15th	Northwest African coast
Sir Crispin Agnew of Lochnaw Bt	Scottish	20th	Greenland, Elephant Island, Northern Patagonian Icefield, Himalayas
Charles Albanel	French	17th	Canada
Afonso de Albuquerque	Portuguese	16th	Asia
Buzz Aldrin	American	20th	The Moon
Pêro de Alenquer	Portuguese	15th/16th	Indian Ocean
Alexander the Great	Greek (Macedonian)	4th BC	Indus River, Hindu Kush
Jean Alfonse (João Afonso)	Portuguese-French	15th/16th	Indian Ocean, Southeast Asia, possibly Australia; Brazil, North America
Benedict Allen	English	20th/21st	various
Diego de Almagro	Spanish	16th	Peru, Chile
László Almásy	Hungarian	19th/20th	Africa
Francisco de Almeida	Portuguese	16th	India
Lourenço de Almeida	Portuguese	16th	Sri Lanka, India
Pedro de Alvarado	Spanish	16th	Mexico, Guatemala, Honduras
Francisco Álvares	Portuguese	16th	Ethiopia
Gonçalo Álvares	Portuguese	15th	Gough Island, Namibia
Jorge Álvares	Portuguese	16th	China
Roald Amundsen	Norwegian	20th	South Pole, Antarctica, Northwest Passage
José Alberto de Oliveira Anchieta	Portuguese	19th	Gough Island
Charles John Andersson	Swedish	19th	Southern Africa
António de Andrade	Portuguese	16th/17th	India, Tibet
Fernão Pires de Andrade	Portuguese	16th	Ming China
Salomon August Andrée	Swedish	19th	Arctic
Roy Chapman Andrews	American	20th	China, Mongolia
Juan Bautista de Anza	Spanish	18th	California
Dominick Arduin	French	20th/21st	North Pole
Henryk Arctowski	Polish	20th	Antarctic, South America
Neil Armstrong	American	20th	The Moon
Ingólfur Arnarson	Norse	9th	Iceland
Vladimir Arsenyev	Russian	20th	Far East
Michael Asher	English	20th	Africa
Pêro de Ataíde	Portuguese	16th/17th	Indian Ocean
Vasco de Ataíde	Portuguese	16th/17th	India, Tibet
Vladimir Atlasov	Siberian Cossack	17th	Kamchatka Peninsula
François Xavier Aubry	French Canadian	19th	American Southwest
Väinö Auer	Finnish	20th	Tierra del Fuego and Patagonia
Pedro Menéndez de Avilés	Spanish	16th	Florida
Juan de Ayala	Spanish	18th	California
Lucas Vázquez de Ayllón	Spanish	16th	South Carolina
Diogo de Azambuja	Portuguese	15th	West African coast
George Back	English	19th	Canadian Arctic
